#designation	ra	dec	w1	w1_err	h	h_err	k	k_err	Halpha_type	objtype_Hou	objtype_SIMBAD
J035358.25+465351.8	58.492717	46.897724	8.341	0.022	9.049	0.028	8.826	0.023	I	CBe	BeStar
J035358.25+465351.8	58.492717	46.897724	8.341	0.022	9.049	0.028	8.826	0.023	I	CBe	BeStar
J035358.25+465351.8	58.492717	46.897724	8.341	0.022	9.049	0.028	8.826	0.023	I	CBe	BeStar
J044231.14+383046.9	70.629754	38.513054	10.256	0.022	10.455	0.018	10.344	0.018	I	CBe	BeStar
J041805.77+533707.2	64.524051	53.618671	9.305	0.023	10.605	0.031	10.444	0.022	I	CBe	Emission-lineStar
J063337.49+044847.0	98.406229	4.813058	7.111	0.052	8.946	0.023	8.644	0.023	I	CBe	Emission-lineStar
J063337.49+044847.0	98.406229	4.813058	7.111	0.052	8.946	0.023	8.644	0.023	I	CBe	Emission-lineStar
J055517.56+292036.3	88.823167	29.343444	13.395	0.027	13.625	0.029	13.482	0.032	I	CBe	WhiteDwarfCandidate
J055926.02+271328.8	89.858458	27.224667	13.102	0.026	13.371	0.030	13.249	0.029	I	CBe	-
J055517.56+292036.3	88.823171	29.343427	13.395	0.027	13.625	0.029	13.482	0.032	I	CBe	WhiteDwarfCandidate
J060746.51+292452.5	91.943818	29.414605	11.170	0.023	11.714	0.023	11.423	0.019	I	CBe	-
J021331.68+561900.8	33.382	56.3169	12.727	0.024	12.964	0.032	12.879	0.032	I	CBe	-
J015650.77+574037.6	29.211578	57.677124	9.145	0.024	9.668	0.028	9.441	0.021	I	CBe	Emission-lineStar
J030027.66+540005.1	45.115285	54.001423	10.576	0.023	10.829	0.021	10.722	0.018	I	CBe	Emission-lineStar
J034528.44+500326.0	56.368509	50.057241	10.056	0.023	10.981	0.024	10.641	0.023	I	CBe	Emission-lineStar
J035614.13+522603.1	59.058908	52.434199	10.040	0.023	10.575	0.032	10.259	0.022	I	CBe	Emission-lineStar
J033851.13+515341.2	54.713071	51.894794	9.969	0.024	10.262	0.023	10.092	0.019	I	CBe	Star
J015611.38+580928.6	29.0474442	58.1579708	11.614	0.023	11.760	0.030	11.527	0.021	I	CBe	-
J015650.77+574037.6	29.211578	57.677124	9.145	0.024	9.668	0.028	9.441	0.021	I	CBe	Emission-lineStar
J021417.49+600424.2	33.5729	60.0734	11.319	0.023	11.790	0.023	11.512	0.016	I	CBe	-
J053307.98+284749.2	83.28325	28.797	13.214	0.025	13.836	0.022	13.609	0.036	I	CBe	-
J052831.75+271146.6	82.132292	27.196278	13.154	0.026	13.650	0.031	13.406	0.032	I	CBe	-
J052941.92+273400.5	82.424667	27.566833	13.097	0.026	13.662	0.035	13.485	0.034	I	CBe	-
J052649.17+291056.6	81.704875	29.182389	12.922	0.024	13.593	0.029	13.311	0.030	I	CBe	-
J052524.19+300543.8	81.350792	30.0955	12.133	0.022	12.533	0.026	12.413	0.026	I	CBe	-
J052550.05+304551.9	81.458583	30.764417	12.731	0.024	13.184	0.020	12.992	0.027	I	CBe	-
J031927.75+503341.4	49.865626	50.561518	12.399	0.024	12.733	0.026	12.495	0.026	I	CBe	WhiteDwarfCandidate
J055034.99+253827.3	87.645792	25.640944	12.119	0.024	12.773	0.022	12.516	0.026	I	CBe	-
J055517.56+292036.3	88.823167	29.343444	13.395	0.027	13.625	0.029	13.482	0.032	I	CBe	WhiteDwarfCandidate
J040357.53+282654.8	60.989717	28.448578	15.420	0.044	15.678	0.142	15.570	0.169	I	CBe	-
J025531.23-020258.8	43.88014	-2.049679	14.640	0.029	14.912	0.074	14.921	0.119	I	CBe	Star
J054837.63+281710.2	87.156833	28.286194	12.129	0.023	12.689	0.019	12.377	0.020	I	CBe	-
