#designation	ra	dec	Fe_type
J054806.31+302128.8	87.026292	30.358	double-peak
J015650.77+574037.6	29.211578	57.677124	single-peak
J025952.14+541513.9	44.967259	54.253884	double-peak
J025146.96+554201.3	42.945683	55.70038	unclassify
J034528.44+500326.0	56.368509	50.057241	double-peak
J034512.81+521437.7	56.303389	52.243824	unclassify
J033506.08+501111.8	53.775337	50.186638	double-peak
J015611.38+580928.6	29.0474442	58.1579708	double-peak
J015650.77+574037.6	29.211578	57.677124	single-peak
J052649.17+291056.6	81.704875	29.182389	unclassify
J052429.89+301950.7	81.124542	30.33075	unclassify
J032453.23+515247.5	51.221822	51.879886	double-peak
J031108.31+530719.3	47.78466	53.122055	single-peak
J025104.45+553018.0	42.768574	55.505027	double-peak
J041801.73+464052.1	64.507224	46.681165	single-peak
J060225.94+310310.3	90.60809	31.05287	unclassify
J043000.64+422259.6	67.502696	42.383247	double-peak
J035803.39+470904.3	59.51414	47.151203	single-peak
J035358.25+465351.8	58.492717	46.897724	double-peak
J041518.29+462230.4	63.826217	46.375119	unclassify
J041350.73+470204.8	63.461415	47.034672	double-peak
J064845.66+115640.7	102.19027	11.944653	double-peak
J064931.23+124804.0	102.38015	12.801118	unclassify
J043230.94+531036.0	68.128957	53.176687	double-peak
J043655.53+535233.8	69.231408	53.876064	single-peak
J045438.17+502318.0	73.659073	50.388342	unclassify
J065712.29+082626.6	104.30123	8.440727	double-peak
J065348.11+074415.7	103.45048	7.7377009	double-peak
J065206.76+072334.0	103.02818	7.392798	double-peak
J035447.92+445619.6	58.699681	44.938786	single-peak
J034923.85+481438.8	57.349398	48.244118	double-peak
J035358.25+465351.8	58.492717	46.897724	double-peak
J034627.33+474708.6	56.613897	47.785744	unclassify
J035649.65+460947.2	59.206875	46.16312	unclassify
J055944.21+095416.3	89.934222	9.9045454	unclassify
J065728.90+075920.1	104.37043	7.988917	double-peak
J034031.33+504451.4	55.1305452	50.7476339	double-peak
J033506.08+501111.8	53.775337	50.186638	unclassify
J041410.44+430855.1	63.543536	43.148659	unclassify
J043000.64+422259.6	67.502696	42.383247	unclassify
J063630.59+120242.0	99.127465	12.045019	single-peak
